data_id	Project Title	Start Year	End Year	ISO3 Code	Region	Country	Client/ Donor	M&E	Public Financial Management and Fiscal Sustainability	Brief Description	Point of contact	Email	Phone	Is Current Project? (true/false)	Practice Area	projects_slug	Prime	Contract Value USD	Contract Number	Sub	Education, Gender, and Youth Development	Knowledge Management and Data Analytics	Link	Security, Transparency, and Governance	Document Title	Energy and Environment	Subcontract Number/Order Number/Grant Number	Link to the document file
112	Tax Computerization Project Outsourcing Initiative Feasibility Study for the Philippine Bureau of Internal Revenue (BIR)	2002	2003	PHL	Asia	Philippines	U.S. Trade and Development Agency	x		"In partnership with the M Group, DevTech conducted a feasibility study for the BIR's Outsourcing Initiative. As part of this feasibility study, DevTech conducted a thorough analysis of the information technology assets to be included in the outsourcing arrangement. Typically these assets comprise a mixture of hardware, software, services, processes, and personnel.DevTech also analyzed organizational issues related to the general approach and framework, specific methodologies and procedures, and their rationale.Legal and regulatory issues were also considered, including a \""Benefits Funding\"" scheme, current legislation and statutes, and any legal issues that may affect the outsourcing and/or BOT (\""Build-Own-Transfer\"") arrangement.In addition, DevTech assisted the BIR in preparing the business case to be presented to the Legislature, including the scope and structure of the outsourcing arrangement that is most appropriate to BIR's circumstances; ways of overcoming legal/regulatory obstacles that have been identified; and the controls that will be put in place to ensure, among other things, the quality and security of the outsourcing arrangement and the equitable treatment to be accorded BIR employees under the arrangement. DevTech also assisted in preparing the tender documents and provided guidance to the BIR in the bid solicitation and evaluation stages."	BIR Contact Center	contact_us@cctr.bir.gov.ph	981-8888	No	Monitoring and Evaluation~Knowledge Management and Data Analytics	Tax-Computerization-Project-Ou	M Group		GEW-I-02-02-00019	x		x						
113	Environmental Compliance Support Service	2002	2007		Europe and Eurasia	Europe and Eurasia	USAID/Europe and Eurasia	x		A DevTech team provided administrative and information management support services to the Office of Environmental Audit at DOE facilities nationwide. The team was responsible for the implementation, operation, documentation, and maintenance of systems for the collection, verification, and publication of audit team (i.e., DOE staff and contractors) data.				No	Monitoring and Evaluation~Energy and Environment	Environmental-Compliance-Suppo	x			SETA						x		
114	Environmental Impacts of Land Privatization in Selected Countries of Eastern Europe and Eurasia: An Assessment of Priority Issues	2002	2002	BGR, KAZ, SRB	Europe and Eurasia		USAID	x		The report is based on a project undertaken by a team of local consultant specialists in thecountries covered. The first three sections of the report was written by Alexandra Ewing Oeadauthor), and Jim McNicholas (Project Manager for DevTech). Section 4 of the report containsindMduai country reports written by the project tearn listed below, based on a questionnairedeveloped by Gregory Myers and Jeff Goodson (USAlD) with comments from Alicia Grimes andGerald Gold (USAID), J.A. Atchue 11\ (DevTech), and the project tearn. The statements andopinions expressed herein are not necessarily those of either USAID or DevTech Systems, Inc.				No	Monitoring and Evaluation	Environmental-Impacts-of-Land	x		EE-C-00-98-00001-00				https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY5OTEy&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		Environmental Information Systems and Networking Project			
115	Review of Environmental Activities Implemented in theBureau for Europe & Eurasia	2002	2002		Europe and Eurasia	Europe and Eurasia	USAID	x		Staff from DevTech Systems. Inc., the ENR institutional contractor, were requested to extractinformation from several sources and synthesize it in a format developed within the ENRDivision. The information sources used in developing these discussions were:The Fiscal Year (FY) 2001 Congressional Budget JustificationThe FY 2002 Congressional Budget JustificationThe FY 2002 Results Review (R2a) (and in some case the FY 2001 R2a)The most recent Mission Strategic PlanThe RIP and Ukraine Mission web sites 'These documents were reviewed for information about environmental projects and for projectsthat had potential environmental linkages. The information about each country was synthesizedin the reports making up the remainder of this document. The individual country discussionswere then forwarded to the Mission Program Officers who reviewed them for accuracy andresubmitted them to ENR staff where they were transmitted to DevTech for inclusion in the finalreport. The box below represents the types of projects that were included in this study				No	Monitoring and Evaluation~Energy and Environment	Review-of-Environmental-Activi	x		EE-C-00-98-00001-00				https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY5OTEx&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		Review of environmental activities implemented in the Bureau for Europe & Eurasia	x		
116	Women in Development: Short-term Technical Assistance and Training Supporting Gender Integration in USAID Operating Units Under Leadership of EGAT/WID	2002	2012	SCG, AFG, PRY, SLV, USA, KHM, ZAF, USA, UGA, USA, PER, TZA, HTI, NIC, ARM, USA, COL, MWI, USA, USA, USA, USA, EGY, GTM, AFG, DOM, IDN, USA, SLV, GTM, HND, NGA, JOR, BOL, USA, NIC, TZA, GUY, MAR, USA, MLI, AZE, SLV, MKD, NAM, ETH, USA, LKA, PAN, USA, NIC, TLS, USA, MOZ, RUS, MEX, PHL, ZAF, USA, USA, GHA, NER, MLI, PRY, BOL, USA, RUS, BIH, TLS, USA, BGD, IND, USA, SEN, BGD, COD, GEO, TZA, EGY, EGY, PAN, KHM, ARM, ZMB, BRB, PER, SDN, PAN, AFG, ETH, BOL, ZAF, PRY, KAZ, DOM, RWA, MEX, MEX, NAM, ZMB, HON, PSE,	Global	Global	USAID/WID	x		DevTech was the prime contractor for this task order to provide on-demand short-term technical assistance (STTA) and training (STTA&T) to USAID Missions and Bureaus across sectors. DevTech assisted USAID to develop strategies for incorporating and addressing gender concerns in all activities and to provide sector- specific guidelines for integration of gender issues into development activities. DevTech conducted gender training focused on strategic planning, performance measurement, data collection and analysis tools, and monitoring and evaluation.  DevTech responded to more than 100 USAID Mission requests for assistance covering all sectors in evaluation, gender analysis, gender integration, training, and dissemination (through conferences). For these tasks, DevTech hired more than 75 individuals to deliver technical assistance. In all cases, the firm recruited international and local experts.				No	Monitoring and Evaluation~Education, Gender and Youth~Knowledge Management and Data Analytics	Women-in-Development:-Short-te	x	12269799.00	GEW-I-00-02-00019-00, TO1		x	x						
117	Fiscal Policy Reform: Guatemalan Municipal Tax Code	2002	2002	GTM	Latin America and the Caribbean	Guatemala	USAID	x	x	The cost incurred by the Superintendency of Tax Administration (SAT) in all aspects covered by the administration of the taxes that it administers is of fiscal, economic and social interest, since these costs represent a deduction of the gross yield of each tax. It is therefore important to make an effort to minimize this cost - without undermining the related efforts to strengthen tax collection.Simultaneously, the administrative cost estimate can play two additional roles:• Identify those taxes whose cost represents a relatively high proportion of their gross receipts; If so, it may be advisable or repeal such tribute or modify it so that its net collection increased.• Allow international comparisons as a useful tool for tax administrators and for those who forge tax policy, thus pointing to areas where administrative efficiency is needed.				No	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	Fiscal-Policy-Reform:-Guatemal	DAI		PCE-I-00-00-00015-00	x			https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjczNDc2&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		Guatemala: los costos administrativos de la tributacion y de impuestos de bajo rendimmineto		4153-00S-001, Task Order No. 2	
118	U.S.-Mexico Partnership for Municipal Development	2002	2003	MEX	Latin America and the Caribbean	Mexico	USAID	x	x	In an effort to foster fiscal decentralization in the Government of Mexico, DevTech, under contract to ICMA, provided strategic support to the Fiscal Coordination Commission. DevTech sought to enable the Commission to become the key forum for dialogue on fiscal decentralization and to develop concrete proposals for changes and/or improvements to existing laws and policies that the Commission can take to the Mexican National Congress for approval. These efforts helped the Commission better articulate the demand for fiscal decentralization in the country and develop specific initiatives to reform/improve upon existing laws, regulations, and practices.As part of this effort, DevTech:>Assessed the state of intergovernmental relations, including distribution of revenues, spending, etc., and the legal framework for the federal and state constitutions and local government law;>Trained members of the Commission in transfer systems, assignment of roles and responsibilities, service delivery models and best practices based on international experience;>Designed and supervised a variety of technical studies; and>Organized a seminar to review these studies and to arrive at a consensus on the future of fiscal federalism.DevTech helped the Instituto para el Desarrollo Técnico de las Haciendas Públicas (INDETEC) publish these studies in a single volume book titled: Enfoques Alternativos del Federalismo Fiscal en México (Alternative Foci for Fiscal Federalism in Mexico).This final work represented a broad consensus for reform, endorsed by the major players, but based on solid technical analysis. The broad distribution and discussion of this book helped ensure that these issues would start to rise to the top of the political and legislative agenda.	C.P. Marcela Andrade Martínez	marcela_andrade@hacienda.gob.mx	01 (55) 36881376	No	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	U.S.-Mexico-Partnership-for-Mu	ICMA	112078.00		x			http://pdf.usaid.gov/pdf_docs/pdabz085.pdf		U.S.-Mexico Partnership for Municipial Development Extension Period (Phase II)			
119	Accelerated Microenterprise Advancement Project	2002	2006	GTM	Latin America and the Caribbean	Guatemala	USAID	x		DevTech deployed a team that used in-depth field interviews and a survey of buyers and producers, to take a “bottom-up” perspective to investigate the nature, determinants, and consequences of MSE participation in the textile handicrafts and high-value horticulture value chains in Guatemala. The evaluation team empirically tested the characteristics of value chain linkages that facilitate or inhibit the formation of collaborative inter-firm relationships, both vertically (between firms at different levels of the value chain) and horizontally (among firms at the same level of the value chain). This was followed by an analysis of the impact of these vertical and horizontal relationships on MSE owners’ ability to innovate, or upgrade, their enterprise. The results indicated the importance of market information, inter-firm communication, reduced transaction costs, risk-offsetting opportunities, and effective group governance in building strong horizontal and vertical relationships that promote MSE upgrading and enhance the competitiveness of value chains.	Veronica Cordero	vcordero@louisberger.com	Tel: 202/331-7775	No	Monitoring and Evaluation	Accelerated-Microenterprise-Ad	Louis Berger Group, Inc.	180000000.00	GEG-I-00-02-00015-00	x			https://www.microlinks.org/sites/microlinks/files/resource/files/ML4812_aimvc_guatemala.pdf		Integrating Micro and Small Enterprises into Value Chains			
120	Evaluation of the Microfinance Technical Assistance Program	2002	2002	HND	Latin America and the Caribbean	Honduras	USAID	x		DevTech successfully completed on schedule and within scope an in-country evaluation of USAID Honduras progress and the effectiveness of the current technical assistance to strengthen the micro- and small-business lending capacity of selected microfinance institutions in Honduras.The DevTech evaluators reviewed and provided written analysis of the:>Long- and short-term staffing, contract management, and support;>Technical assistance and training activities, including indicators developed by the contractor for measuring results, the strategy followed, and results to date;>Coordination between the institutional contractor, the Covelo Foundation, and the institutional contractor and USAID;>Actions in support of the environment affecting the operations of microfinance institutions in Honduras; and>Possible alternative actions for improving the results of the project during the remaining period under the contract.	James Athanas	jathanas@usaid.gov	011-504-236-9320	No	Monitoring and Evaluation	Evaluation-of-the-Microfinance	Checchi & CompanyConsulting	55756.00	AEP-I-00-00-00022-00	x								
121	Improved Basic Education through Private-Sector Sponsorship of Public Schools	2002	2003	DOM	Latin America and the Caribbean	Dominican Republic	USAID			The USAID/Dominican Republic's School Sponsorship Project sought to promote the involvement of the private business sector in education improvement, and encourage an active role for NGOs as advocates for policy change at the national level and as facilitators for community participation at the school level.DevTech implemented this pilot program by mobilizing private-sector partnerships and promoting increased awareness of the benefits accruing to practitioners of corporate social responsibility. The project focused on the need to establish smooth, flexible, and permanent working relationships among the stakeholders involved in the improvement of basic education. The project also incorporated strategies to ensure sustainability through institutional strengthening of the partners as well as an ongoing attention to the particular needs of the various school communities for quality basic education.	office	eads@usaid.gov	(202) 712-4810	No	Education, Gender and Youth	Improved-Basic-Education-throu	x	2913053.00	517-C-00-02-00115-00		x		https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjcyNjE2&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		Dominican Republic School sponsorship project: Quarterly report no. 2			
122	Evaluation of USAID/Jordan's Efforts to Improve Water Resources Management	2002	2003	JOR	Middle East	Jordan	USAID/Jordan	x		In 1993, the USAID Mission in Jordan developed the Water Quality Improvement and Conservation (WQIC) Project. This $25 million five-year project focused on the Zarqa River Basin and included comprehensive technical assistance designed to help the Ministry of Water and Irrigation (MWI) develop sound water management policies including the strengthening of water sector institutions.The Mission's Strategic Objective (SO) 2 is to build stronger water-sector institutions, increase efficiency in the use of water resources; and improve the quality of wastewater in Jordan. DevTech assisted the Mission in evaluating the overall impact of the SO's implementation during the past 10 years by completing a general evaluation of the water sector and presenting options for the direction of USAID's program including answering such questions as:>Was each activity reaching its targeted population?>Were all the needed areas covered by the activities?>Is there a need for a different mix of activities that will contribute more to the objective?DevTech Systems submitted a report on the organization and effectiveness of the SO in December 2002.				No	Monitoring and Evaluation~Energy and Environment	Evaluation-of-USAIDJordan's-E	Checchi & CompanyConsulting		AEP-I-00-00-00022-00	x						x	Evaluation IQC	
123	Evaluation of Benin's Basic Education Reform	2003	2003	BEN	Africa	Benin	USAID			Through a task order under the Evaluation IQC, DevTech conducted a mid-course evaluation of the progress and results attained by the pedagogical component of the Benin basic education reform program. This evaluation identified and analyzed the conformity, coherence, progress, and impact of the new curricula, pedagogical guides, the new Math and French workbooks and textbooks, French wall charts, teacher training, student assessment and school orientation, and documentary network. The findings and the observations provided crucial information to successfully guide the progress of the reform.				No	Education, Gender and Youth	Evaluation-of-Benin's-Basic-Ed	Checchi and Company Consulting		AEP-I-00-00-00022-00	x	x						Evaluation IQC	
124	Improved Quality of Education Activity	2003	2006	MLI	Africa	Mali	USAID			DevTech, under subcontract to World Education, Inc., provided technical assistance to the Improved Quality of Education Activity in Mali. Funded by USAID, the project aimed to achieve maximum impact toward improving educational quality in a resource poor environment. The technical assistance had three components:1) Improving teacher learning and performance through the implementation of a school cluster system in conjunction with the Ministry of Education (MOE);2) Providing the MOE with the technical expertise, particularly in mathematics, science, and life skills, to create and implement a curriculum best suited to the needs of Malians; and3) Working with parents and communities to improve their management of schools, monitoring of quality (in partnership with the MOE), and advocacy/mobilization of resources.				No	Education, Gender and Youth	Improved-Quality-of-Education	World Education	97176.00		x	x							
125	Safe Schools Program	2003	2008	GHA, MWI	Africa	Ghana, Malawi	USAID			The Safe Schools Program was a five-year program to create gender-safe environments for girls and boys and promote gender-equitable relationships within schools in Malawi and Ghana. This pioneering, evidence-based initiative was designed to reduce school-related gender-based violence (SRGBV), improve educational outcomes, and reduce negative health outcomes. Program interventions were implemented in schools in the two countries and focused on students ranging in age from approximately 10 to 14.				No	Education, Gender and Youth	Safe-Schools-Program	x	10274759.00	GEW-I-02-02-00019		x		http://pdf.usaid.gov/pdf_docs/pnadk759.pdf		The Safe Schools Program: A Qualitative study to Examine School-Related Gender-Based Violence In Malawi			
126	Ambassador’s Girls’ Scholarship Program	2003	2008	GIN	Africa	Guinea	USAID			A multinational team of DevTech researchers from Benin, Canada, Guinea, Senegal, and the United States conducted an evaluation, met regularly with key members of USAID’s education team, and key respondents, and data collection in support evaluating the quality of basic education provided to a larger percentage of Guinean children with an emphasis on girls and rural children, including improved sectoral strategic planning, management, and decision-making in basic education, Improved instruction in basic education, Improved community participation in basic education, Improved gender and rural/urban equity in basic education.	Attn: Susan Benik	susan.benik@MMS.gov	Tel: 703/787-1350	No	Education, Gender and Youth	Ambassador's-Girls'-Scholarshi	x	64879.00	1435-04-02-RC-72264		x							
127	Evaluation of the USAID/Zambia's Education Program	2003	2009	ZMB	Africa	Zambia	USAID/Zambia	x		DevTech completed an independent assessment of the USAID/Zambia’s education program between 2003 and 2009, and presented recommendations for USAID's new educational strategy, programming options, and investments for 2010–2015.The evaluation team conducted:A summative evaluation of the three largest USAID-funded education programs, andA sectoral evaluation that assesses the synergies among projects for affecting overall program sub-sectors such as teacher training and information management systems.The three-person team spent six weeks in Zambia utilizing six complementary, inter-related forms of gathering information through:A review of pertinent documents throughout the evaluation process;Individual and group interviews;Focus group discussions;Visits to 29 schools, classroom observations, and conversations with local citizens;Meetings with MOE personnel in six District Education Board Secretary (DEBS) and three Provincial Education Officer (PEO) offices, district, zonal and provincial resource centers, three community radio stations, and two teacher training colleges in Lusaka, Eastern and Southern provinces. as well as , grantees' offices, non-governmental Organizations (NGOs), andothers; andthe administration of anonymous questionnaires to individuals and groups of people involved in and knowledgeable of one or more of the program activities				No	Monitoring and Evaluation~Education, Gender and Youth	Evaluation-of-the-USAIDZambia	x	6400000.00	GS-10F-0048L		x		http://pdf.usaid.gov/pdf_docs/pdacn449.pdf		USAID/Zambia Education program Evaluation			
128	Macedonia Competitiveness Activity	2003	2006	MKD	Europe and Eurasia	Macedonia	USAID		x	Under this activity, DevTech supported Booz Allen Hamilton, Inc. to build the competitiveness of Macedonian enterprises in domestic, regional, and global markets. DevTech provided technical assistance in integrating gender into this activity.Key activities included:>Gender analysis to determine the current economic situation for women and men in Macedonia and how this situation influenced what choices they made;>Gender training for project staff in gender integration strategies as well as on how to gather and analyze sex-disaggregated data for reporting to USAID and the host-country government;>Supporting the Business Women's Networking Group for the purpose of encouraging Macedonian women to network with other women like themselves to share information and advocate on important gender issues; and>Data collection, reporting, and monitoring and evaluation of ongoing gender integration.	James Fisher Devin Thatcher	fisher_james_w@bah.comthatcher_devin@bah.com	703-377-7595703-902-4631	No	Education, Gender and Youth~Public Financial Management and Fiscal Sustainability	Macedonia-Competitiveness-Acti	Booz Allen Hamilton, Inc	119612.00		x	x		pdf.usaid.gov/pdf_docs/pdaci062.pdf		Macedonia competitiveness activity (MCA): 2004 annual report and 2005 final work plan			
129	Tax Administration Modernization Project (TAMP): Phase II	2003	2006	BIH	Europe and Eurasia	Bosnia and Herzegovina	USAID		x	This project was a follow-on to TAMP: Phase I. As a SEGIR-EP subcontractor, DevTech led the assistance provided to the three tax administrations in Bosnia and Herzegovina (Federation of Bosnia and Herzegovina, the Republic of Srpska, and the District of Brcko) with the following successes as of August 31, 2004:1. Addressing critical tax policy and legal framework issues;2. Building institutional capacity within the BiH governments to conduct fiscal policy analysis;3. Coordinating closely with a related technical assistance activity funded by Deutsch Gesellschaft fur Technische Zusammenarbeit (GTZ) Gmbh; and4.Creating a more SME-friendly tax environment through elimination of inequitable taxes and fees.DevTech's long-term advisors included the Chief of Party, who was based in Sarajevo, and a tax administration advisor based in Banja Luka. Short-term advisors worked on administration and organization of the Central Processing Centers, forms design, information technology, and training issues.The project was extended from September 2004 to June 2006.	Public Relations Office	info@fbihvlada.gov.ba	387 33 21 29 86	No	Public Financial Management and Fiscal Sustainability	Tax-Administration-Modernizati	DAI	2528121	PCE-I-00-00-00015-00	x			http://pdf.usaid.gov/pdf_docs/pdach965.pdf		Bosnia and Herzegovina: USAID assistance in tax modernization		4153-00S-001, Task Order No. 5	
130	Combating Exploitative Child Labor through Education in the Dominican Republic	2003	2007	DOM	Latin America and the Caribbean	Dominican Republic	U.S. Department of Labor			In 2003, the U.S. Department of Labor (USDOL) signed a cooperative agreement with DevTech to implement the Combating Child Labor through Education in the Dominican Republic project. The program works worked with the International Labor Organization, the Dominican Secretariats of Education and Labor, and other stakeholders to: Raise awareness of the importance of education for all children and to mobilize a wide array of actors to improve and expand education infrastructures; Strengthen national institutions and policies on education and child labor; and Ensure the long-term sustainability of these efforts.				No	Education, Gender and Youth	Combating-Exploitative-Child-L	x	3300000.00	E-9-K-3-0054 / 02-K110-R1AA-4143-CB501		x							
131	System of Monitoring and Evaluation for Municipalities	2003	2003	SLV	Latin America and the Caribbean	El Salvador	Inter-American Development Bank	x		DevTech provided technical assistance on the Inter-American Development Bank's (IDB) System of Monitoring and Evaluation project in El Salvador as a subcontractor to ICMA. DevTech and ICMA collaborated again as a result of the team's success on the Local Development Program II: Design of Indicators of Financial Performance and Classification of Municipalities in El Salvador project in 2001. During 2002, the IDB implemented the monitoring and evaluation program, called FORFIM, for its financial and administrative work in El Salvador. DevTech used data from work conducted during this period to evaluate and redesign the financial and administrative indicators. Additionally, DevTech helped improve the current drafts of the Plan for Strengthening the Finances of Municipalities Plan de Fortalecimiento Financiero Municipal (PFFM) and the Financial and Economic Prospects of Municipalities Potencial Económico y Fincanciero Municipal. DevTech worked to ensure that the indicators reflect the FORFIM program's final objectives, consulting with interested municipal associations. Finally, DevTech presented a final design of instruments and tools to support the new monitoring and evaluation system for FORFIM, and assist in updating the Operating Manual for the Local Development Program to reflect the design of the new monitoring and evaluation system and activities of the new FORFIM.				No	Monitoring and Evaluation	System-of-Monitoring-and-Evalu	x	2091.00	FISDL/SP/000/2003									
132	Democratic Development and Citizen Participation Project Phase 3 (DDPC3)	2003	2006	BOL	Latin America and the Caribbean	Bolivia	USAID	X	X	DevTech was a member of the ICMA Team that implemented USAID's Democratic Development and Citizen Participation Project Phase 3 (DDPC3). The team promoted and enhanced citizen participation, municipal management and governance, service delivery, local economic development, and institution strengthening in Bolivia.DDPC3 helped create sustainable municipal governments and supported organizations that were able to plan, implement, and sustain infrastructure and service projects, and promoted economic growth, while effectively including women and indigenous communities in the governance process.DevTech worked in three primary areas:Gender Equity>Reviewed program materials for clarity, sensitivity, and appropriateness, with special consideration for gender equity.>Redefined USAID/Bolivia's Participatory Municipal Management Model to integrate gender and developed a model for enhancing women's participation in the annual planning process – specifically in the definition of municipal investment based on principles of gender equity.>Designed and provided training-of-trainers support to program participants in methods and techniques for incorporating gender considerations into training programs.>Coordinated project activities with the Vice-Ministry for Women's Issues and national level organizations to improve the legal framework supporting gender equity, i.e. assistance in the preparation of the draft law against Political Harassment and Violence (approved by the Senate in Fall 2005 and sent to Constitutional Commission).>Provided assistance to the Association of Women Municipal Council Members of Bolivia (ACOBOL).>Delivered technical assistance to the Municipal Council for the definition of a gender policy and legal framework. Technical assistance was provided to gender commissions of the Municipal Councils at Concepción, Ascensión, Curahuara, to enable them to request budgets assigned in the 2005 POA for gender policies.>Trained women civil society organizations in project design and developing economic activities for women.>Conducted workshops in support of women's legal rights through the Strengthening of Integrated Legal Services (SLIMS) in project municipalities.Projects and Service Delivery>Designed a manual for municipalities for the use of System Control for Public Lighting Management (SISCOC) that introduced general urban planning techniques and provided an easy-to-use tool for decision-making within an overall framework of transparent municipal management.>Increased capacity of municipalities to provide basic public services either directly or through single entities to provide public services (EPSAS). Several municipalities opened public service units to coordinate and articulate basic public service provision.>Gained citizen support for adjusting the water fee structure to be based on the real costs for operation, maintenance, and expansion.Improved potable water quality at the Municipality of Concepción.>Developed a program for the use of ecological latrines and sewage connection, and provided training in the municipalities of San Javier, Concepción, Ascensión de Guarayos, and San Antonio de Lomerío, with additional training provided in project supervision and control in the municipalities of Cliza, Punata, Rurrenabaque, San Buenaventura, Reyes, Turco, and Curahuara.Municipal Finance>DevTech assisted on issues of municipal finance (including independent revenue sources) and played a key role in the initial stages of defining the Municipal Development Index. A specific accomplishment includes institutionalization of capacity to increase own source revenues in rural municipalities (completed in Cliza and San Juan de Yapacani, and ongoing in Chapare and Chiquitanía).	Vickie L Brooks	vbrooks@icma.org	T 202/962-3504	No	Security, Transparency, and Governance	Democratic-Development-and-Cit	ICMA	1245000.00	511-C-00-03-00236-00	x			http://pdf.usaid.gov/pdf_docs/PDACG495.pdf	x	Bolivia Democratic Development and Citizen Participation			
133	Revitalization of Iraqi Schools and Stabilization of Education (RISE) Project	2003	2004	IRQ	Middle East	Iraq	USAID			DevTech was a subcontractor to Creative Associates on this USAID-funded education project that promoted rapid school enrollment and sustained retention in the Iraqi school system – with a focus on children who had either dropped out of school or were never enrolled. The project included rapid distribution of school materials, equipment, and supplies; education reform and accelerated learning; and training of teachers and school administrators.DevTech was responsible for the following activities under RISE:>Developing the performance monitoring plan for the project;>Conducting mid-term and project-end data collection and analysis to monitor and report on the results and impacts of the project’s six discrete educational components; and>Evaluating the community grants for the school rehabilitation component, which involved interviewing stakeholders at the local level where RISE disbursed grants.				No	Education, Gender and Youth	Revitalization-of-Iraqi-School	Creative Associates International Inc.			x	x		http://pdf.usaid.gov/pdf_docs/pdaca190.pdf		USAID-Iraq Education Program Overview Year 1			
134	Environmental Policy and Institutional Strength II IQC	2004	2009	ROU	Europe and Eurasia	Romania	USAID	x			Head office	44 20 7333 5865		No	Monitoring and Evaluation~Energy and Environment	Environmental-Policy-and-Insti	PA Consulting	9000000.00		x						x		
135	EdData II	2004	2009		Global	Global	USAID			DevTech was a subcontractor to the Research Triangle Institute (RTI) in which DevTech authorized technical support and expertise for USAID Missions, Bureaus, and other USAID operating units. DevTech's role included assessing gender issues in education through the data, ensuring that appropriate sex-disaggregated data is collected through the surveys, and identifying gender constraints revealed by the data.				No	Education, Gender and Youth~Knowledge Management and Data Analytics	EdData-II	RTI	61325.00	1-31U-9354	X	x	x						
136	Combating Exploitative Child Labor through Education in Central America	2004	2009	COS, DOM, SLV, GTM, HND, NIC	Latin America and the Caribbean	Costa Rica, Dominican Republic, El Salvador, Guatemala, Honduras, Nicaragua	U.S. Department of Labor			DevTech worked with CARE USA to implement the U.S. Department of Labor-funded project, Primero Aprendo, in the Central American  and Caribbean region. The project was aimed at improving access to quality education as a means to combat exploitative child  labor in Costa Rica, Dominican Republic, El Salvador, Guatemala, Honduras, and Nicaragua.	https://www.federalregister.gov/documents/2004/05/06/04-10306/combating-exploitive-child-labor-through-education-in-central-america-costa-rica-el-salvador	Combating Exploitive Child Labor through Education in Central America	No	No	Education, Gender and Youth	Combating-Exploitative-Child-L	CARE	944301.00	E-9-K-4-0045	x	x							
